CustomerName,CustomerPhone,DueDate,GovId,Id,InterestRate,MetalType,PrincipalAmount,ProductDescription,Purity,StartDate,Status,TotalRepaid,Weight
Rekha Sharma,9943469335,2025-04-07,7FQUYK09MI,L-00069,1.66,GOLD,168641,Gold Ring,22K,2024-01-26,ACTIVE,74970,16.46
Sunita Sharma,9478346392,2025-10-20,7FD11MD6OG,L-00070,1.25,GOLD,32160,Gold Bracelet,22K,2025-04-06,CLOSED,8024,23.73
Nitin Jain,9336691450,2025-10-14,VA7VHZBNNM,L-00071,1.46,GOLD,243182,Gold Chain (Man),22K,2023-11-06,ACTIVE,44410,2.96
Suresh Kumar,9121141332,2026-04-10,NL9TRKCQ4B,L-00072,0.54,GOLD,225837,Gold Necklace Set,22K,2024-10-31,ACTIVE,63278,9.76
Arun Gupta,9232764993,2026-08-24,3A5O3BYDHX,L-00073,2.11,GOLD,180470,Gold Chain (Man),22K,2025-02-20,CLOSED,80935,12.43
Suresh Bose,9586732552,2026-12-10,FDCNFBZVLD,L-00074,0.84,GOLD,377834,Gold Bangles (4 pcs),22K,2023-11-09,CLOSED,92936,30.59
Ashok Chopra,9171883184,2025-05-12,5OHMM2Y8SF,L-00075,2.26,GOLD,376708,Gold Ring,22K,2025-12-17,ACTIVE,144488,12.69
Rajesh Patel,9504015797,2025-05-14,XHMAVKY0JP,L-00076,2.05,GOLD,291579,Gold Bangles (4 pcs),22K,2024-09-12,ACTIVE,102925,24.86
Gaurav Sharma,9722734709,2025-04-10,7Y1N63Y5VO,L-00077,2.23,GOLD,160397,Gold Ring,22K,2025-11-03,CLOSED,50189,24.13
Sanjay Das,9191689680,2026-08-14,VVVK48QTNF,L-00078,2.25,GOLD,76226,Gold Necklace Set,22K,2024-03-21,OVERDUE,6325,9.55
Anjali Shah,9684998329,2026-08-23,F26HS4Y9DO,L-00079,0.60,GOLD,298542,Gold Ring,22K,2024-09-18,ACTIVE,35222,24.15
Anita Pillai,9681828884,2026-03-11,TKSVX76KP5,L-00080,0.71,GOLD,174319,Gold Bracelet,22K,2024-12-10,CLOSED,55237,24.95
Vikram Gupta,9568700054,2025-09-14,RNMSV828WO,L-00081,0.93,GOLD,393908,Gold Ring,22K,2024-02-11,ACTIVE,91832,19.59
Ravi Desai,9727703626,2026-07-24,US8ED88HKS,L-00082,1.21,GOLD,437456,Gold Bangles (4 pcs),22K,2023-11-28,OVERDUE,148372,19
Neha Gupta,9357139066,2026-10-23,U7DXSY9A58,L-00083,1.14,GOLD,370970,Gold Necklace Set,22K,2025-08-24,OVERDUE,120429,27.91
Lata Trivedi,9256818257,2026-10-05,UNW7YFN5JJ,L-00084,2.22,GOLD,61606,Gold Bracelet,22K,2024-08-05,OVERDUE,13587,9.8
Meena Trivedi,9497772941,2026-01-14,5ZSMFGUD05,L-00085,1.69,GOLD,336648,Gold Bangles (4 pcs),22K,2024-11-28,ACTIVE,80092,2.61
Sanjay Jain,9682531444,2026-04-18,BPKH96N98U,L-00086,0.79,GOLD,99780,Gold Chain (Man),22K,2024-06-18,ACTIVE,1824,8.81
Anita Jain,9766168840,2026-01-08,0JLVI044BM,L-00087,2.45,GOLD,32934,Gold Bangles (4 pcs),22K,2024-01-17,CLOSED,1658,26.33
Swati Kumar,9953341943,2026-12-15,S66R7JB75O,L-00088,1.99,GOLD,209108,Gold Ring,22K,2024-09-26,ACTIVE,88981,15.71
Manoj Nair,9187388781,2025-02-07,E43D5PIXQF,L-00089,0.63,GOLD,20147,Gold Bangles (4 pcs),22K,2023-08-21,ACTIVE,4813,22.71
Neha Singh,9680123538,2025-05-27,PMUPQ0IMX5,L-00090,1.02,GOLD,167933,Gold Bracelet,22K,2024-11-01,ACTIVE,22000,3.79
Suresh Mehta,9618362589,2025-11-03,FAN4UP62AU,L-00091,0.85,GOLD,316555,Gold Earrings,22K,2025-07-16,ACTIVE,136693,20.37
Vikram Iyer,9362807092,2025-09-15,XN86BLXUO1,L-00092,2.22,GOLD,268737,Gold Necklace Set,22K,2025-11-07,CLOSED,45517,7.97
Anita Gupta,9781372806,2026-09-06,WHDJTOGC7J,L-00093,0.60,GOLD,25506,Gold Bangles (4 pcs),22K,2025-02-23,ACTIVE,548,6.82
Amit Modi,9397344605,2025-02-07,A68NS6L17B,L-00094,0.57,GOLD,242779,Gold Chain (Man),22K,2025-10-11,ACTIVE,29174,3.34
Priya Reddy,9709280745,2025-06-27,SR0EENDUMG,L-00095,1.63,GOLD,455093,Gold Chain (Man),22K,2024-03-02,OVERDUE,105831,18.58
Priya Sharma,9199925540,2025-05-13,KILBXUX8XN,L-00096,1.83,GOLD,322211,Gold Chain (Man),22K,2024-12-13,CLOSED,75794,16.5
Rekha Sharma,9929551392,2025-02-11,7QGDSE6M2H,L-00097,1.97,GOLD,427509,Gold Bracelet,22K,2025-11-09,ACTIVE,114501,12.66
Ashok Pillai,9290363439,2026-03-25,50GD67W1GN,L-00098,1.29,GOLD,454119,Gold Necklace Set,22K,2025-04-02,ACTIVE,12899,21.88
Sanjay Kumar,9529991225,2025-03-22,6X9XU803G5,L-00099,2.08,GOLD,86204,Gold Bracelet,22K,2025-08-15,CLOSED,5044,27.53
Sunita Bose,9137795238,2025-06-26,PRNH1547XN,L-00100,0.94,GOLD,132756,Gold Necklace Set,22K,2023-10-19,ACTIVE,60226,18.78
Swati Mehta,9178864820,2025-01-05,9VTI2U79ZC,L-00101,2.19,GOLD,390710,Gold Bangles (4 pcs),22K,2024-08-16,ACTIVE,58151,8.23
Suresh Gupta,9917103906,2026-04-05,BWGWR8P4Y8,L-00102,0.85,GOLD,42077,Gold Bracelet,22K,2023-08-29,OVERDUE,478,13.28
Sanjay Trivedi,9117721427,2026-02-13,C7SNXJ9A3X,L-00103,1.98,GOLD,359498,Gold Ring,22K,2024-07-31,ACTIVE,31382,31.99
Lata Nair,9712713366,2025-11-20,WXBJUL3EYT,L-00104,1.17,GOLD,244938,Gold Necklace Set,22K,2025-02-02,ACTIVE,12875,14.65
Ravi Gupta,9700214566,2026-12-10,S7DPVVS36D,L-00105,1.38,GOLD,101486,Gold Necklace Set,22K,2025-02-27,CLOSED,16467,29.11
Gaurav Das,9751251747,2025-10-18,7HIE8R65C1,L-00106,0.78,GOLD,94758,Gold Ring,22K,2025-06-13,ACTIVE,23718,24.11
Rajesh Patel,9528911469,2026-08-27,ZAU2SGEEB9,L-00107,1.29,GOLD,285793,Gold Earrings,22K,2023-06-01,OVERDUE,24975,20.59
Priya Desai,9863114023,2025-10-09,FF6PA1WR6M,L-00108,2.24,GOLD,100708,Gold Ring,22K,2025-10-07,CLOSED,27807,4.78
Ravi Verma,9565365874,2026-12-05,LMZ6A4CPUD,L-00109,1.86,GOLD,82348,Gold Bracelet,22K,2024-03-07,ACTIVE,25783,17.89
Neha Verma,9781371397,2026-10-15,SAHNOLGXJS,L-00110,1.22,GOLD,245894,Gold Chain (Man),22K,2025-02-22,ACTIVE,46427,18.28
Meena Nair,9222797553,2025-01-01,7MGZUMWKZE,L-00111,0.92,GOLD,341632,Gold Ring,22K,2025-09-12,CLOSED,164100,8.2
Sita Iyer,9686094221,2025-06-15,WM8A11HCC9,L-00112,1.17,GOLD,48049,Gold Chain (Man),22K,2024-07-27,OVERDUE,9064,21.49
Amit Trivedi,9372226350,2026-08-27,0PPJC682M1,L-00113,1.83,GOLD,421196,Gold Chain (Man),22K,2025-02-22,ACTIVE,92282,9.78
Rajesh Chopra,9400211839,2026-12-11,59GQIXMY13,L-00114,2.35,GOLD,489410,Gold Chain (Man),22K,2023-08-18,OVERDUE,17403,11.67
Sita Mehta,9374048659,2025-03-24,696Q7KD40T,L-00115,0.75,GOLD,242082,Gold Bangles (4 pcs),22K,2024-07-28,ACTIVE,97094,18.39
Meena Chopra,9139918924,2026-03-19,VABJCT2OH7,L-00116,0.60,GOLD,39113,Gold Bangles (4 pcs),22K,2025-01-18,OVERDUE,17987,10.52
Pooja Chopra,9837895646,2025-09-21,AVG17R3FRT,L-00117,1.71,GOLD,120221,Gold Bangles (4 pcs),22K,2025-07-21,ACTIVE,39365,8.11
Swati Shah,9814807342,2026-02-21,1TMH2OVD4L,L-00118,1.35,GOLD,183192,Gold Bangles (4 pcs),22K,2024-03-24,ACTIVE,24025,21.26
Amit Shah,9544078689,2026-04-10,4H7O0C205C,L-00119,2.43,GOLD,62919,Gold Bracelet,22K,2024-10-10,ACTIVE,20406,8.11
Anjali Chopra,9335719001,2026-10-17,V94LFB9BGY,L-00120,1.20,GOLD,69623,Gold Ring,22K,2023-12-27,ACTIVE,19986,29.78
Manoj Bose,9118027599,2026-07-10,UFJUEXYI0C,L-00121,2.48,GOLD,25573,Gold Necklace Set,22K,2023-11-20,ACTIVE,11898,3.63
Arun Bose,9597472478,2025-09-30,0DTSF1HXIU,L-00122,2.08,GOLD,374298,Gold Bracelet,22K,2024-10-23,CLOSED,23622,24.43
Meena Trivedi,9388279195,2026-01-10,0X6YJUGMHA,L-00123,1.75,GOLD,469003,Gold Earrings,22K,2025-07-18,OVERDUE,21746,10.09
Nitin Agarwal,9624387504,2026-01-02,7EAZBBL9NV,L-00124,1.53,GOLD,129384,Gold Earrings,22K,2025-02-09,ACTIVE,9609,19.36
Suresh Bose,9567665467,2025-12-23,HRVQ9208UK,L-00125,1.73,GOLD,141538,Gold Earrings,22K,2023-11-04,ACTIVE,9853,20.54
Ravi Patel,9445109957,2025-01-05,1VS333WP2P,L-00126,0.56,GOLD,267959,Gold Chain (Man),22K,2023-12-13,ACTIVE,92508,10.94
Suresh Modi,9894357903,2025-07-18,MAKJX27MDJ,L-00127,0.53,GOLD,179583,Gold Chain (Man),22K,2024-02-06,ACTIVE,68889,10.13
Swati Bose,9245110524,2026-08-16,WEAK774I2S,L-00128,1.28,GOLD,231954,Gold Earrings,22K,2023-06-28,ACTIVE,90453,24.66
Rohit Bose,9345506505,2026-02-17,YT56XPG0F0,L-00129,1.53,GOLD,379890,Gold Bracelet,22K,2023-10-18,ACTIVE,64851,20.23
Lata Chopra,9614566417,2025-06-28,H2NO2VTMRZ,L-00130,0.85,GOLD,331189,Gold Bracelet,22K,2025-02-23,ACTIVE,88989,20.39
Sanjay Chopra,9508078364,2026-02-27,7YIM1U5ZN1,L-00131,0.59,GOLD,42240,Gold Ring,22K,2023-03-22,ACTIVE,6855,7.49
Manoj Reddy,9735155495,2025-03-06,F58ETAZF4Y,L-00132,2.45,GOLD,38828,Gold Earrings,22K,2024-05-30,ACTIVE,4858,14.45
Amit Agarwal,9419225279,2025-06-07,GFAMFJW1P2,L-00133,2.34,GOLD,195091,Gold Bracelet,22K,2024-08-03,ACTIVE,31147,15.5
Rohit Shah,9475400203,2025-04-17,HI2F2XW4OP,L-00134,2.14,GOLD,160437,Gold Earrings,22K,2024-09-21,OVERDUE,10444,8.29
Anjali Verma,9667256827,2026-11-19,44OH2Y5I33,L-00135,1.93,GOLD,110885,Gold Bangles (4 pcs),22K,2025-09-02,OVERDUE,48769,9.13
Manoj Sharma,9195197831,2025-03-22,WI26HHQFYR,L-00136,0.54,GOLD,329260,Gold Earrings,22K,2024-11-14,ACTIVE,63807,7.68
Neha Reddy,9144047842,2025-03-11,RARZG1UVFD,L-00137,0.76,GOLD,283472,Gold Bangles (4 pcs),22K,2025-05-02,ACTIVE,140476,25.1
Sanjay Kumar,9839296827,2026-03-22,ZO0TVVDDQR,L-00138,1.32,GOLD,137101,Gold Ring,22K,2023-02-28,ACTIVE,34747,14.57
Priya Singh,9555821801,2026-05-21,JTE6ZXREC0,L-00139,1.67,GOLD,118167,Gold Ring,22K,2023-07-10,OVERDUE,5173,7.43
Deepak Nair,9172070510,2026-12-29,NALP6QK6S5,L-00140,0.94,GOLD,98445,Gold Chain (Man),22K,2024-01-07,CLOSED,7423,18.24
Gaurav Reddy,9646387312,2025-01-06,EAM6FUA916,L-00141,0.69,GOLD,46865,Gold Bracelet,22K,2023-06-01,ACTIVE,21217,24.39
Lata Verma,9769066757,2026-02-09,84ZI0HK9MA,L-00142,1.38,GOLD,146614,Gold Chain (Man),22K,2024-10-10,CLOSED,14943,10.39
Pooja Kumar,9706161803,2025-02-25,C5VPTYF2T2,L-00143,0.77,GOLD,241275,Gold Bracelet,22K,2023-10-18,CLOSED,32489,17.8
Rajesh Agarwal,9649994353,2026-12-07,30CDKJE6T9,L-00144,1.00,GOLD,404299,Gold Ring,22K,2025-06-02,ACTIVE,85720,2.55
Gaurav Singh,9265967418,2026-10-07,FJOWIKCHZY,L-00145,1.71,GOLD,318411,Gold Chain (Man),22K,2023-09-10,ACTIVE,56587,23.41
Ravi Nair,9441319196,2025-03-19,6Y1VXGAH62,L-00146,0.87,GOLD,441713,Gold Bracelet,22K,2025-02-18,ACTIVE,184837,9.31
Swati Reddy,9415497526,2025-08-10,I0KGCDC7G9,L-00147,1.16,GOLD,411505,Gold Chain (Man),22K,2023-01-25,ACTIVE,193240,13.54
Neha Gupta,9756252178,2026-01-31,MU7VY9DXXH,L-00148,1.40,GOLD,66011,Gold Bracelet,22K,2025-02-26,ACTIVE,31629,10.49
Anjali Gupta,9178370138,2025-11-28,46PXP3PQFJ,L-00149,1.18,GOLD,69369,Gold Necklace Set,22K,2024-06-23,OVERDUE,1988,28.73
Swati Agarwal,9867669557,2026-12-24,OEWKXWYU34,L-00150,1.36,GOLD,301517,Gold Chain (Man),22K,2024-04-19,ACTIVE,3945,12.13
Gaurav Verma,9578864706,2026-10-20,D6VPQ8IDPJ,L-00151,1.40,GOLD,275103,Gold Necklace Set,22K,2024-12-12,CLOSED,89567,25.09
Manoj Verma,9112791643,2026-05-13,2VI6JYYQ22,L-00152,1.39,GOLD,205114,Gold Bangles (4 pcs),22K,2025-10-22,ACTIVE,24501,25.96
Sanjay Modi,9973637490,2026-12-24,Q86Z099YQZ,L-00153,1.72,GOLD,349963,Gold Bangles (4 pcs),22K,2024-07-21,ACTIVE,74011,26.07
Ravi Das,9775628818,2026-05-10,2LJQNYO1O1,L-00154,2.22,GOLD,386784,Gold Earrings,22K,2024-09-11,CLOSED,36387,19.73
Lata Iyer,9184620717,2026-03-25,WGS9EGAIG0,L-00155,1.49,GOLD,352053,Gold Necklace Set,22K,2024-06-28,OVERDUE,139504,8.34
Lata Das,9256163907,2025-06-12,GMZIPN0AG8,L-00156,1.20,GOLD,415001,Gold Necklace Set,22K,2024-04-25,CLOSED,40650,30.53
Rohit Iyer,9917740666,2026-09-25,NUG1HHKDQL,L-00157,1.31,GOLD,246489,Gold Bracelet,22K,2025-02-14,ACTIVE,95511,13.45
Ravi Bose,9404902986,2025-09-10,M2KWM1D1CA,L-00158,1.93,GOLD,101362,Gold Earrings,22K,2023-08-15,OVERDUE,18061,31.07
Nitin Nair,9758720570,2026-03-02,JKY4QJYKYN,L-00159,1.84,GOLD,235266,Gold Bangles (4 pcs),22K,2023-07-30,ACTIVE,54165,16.8
Neha Jain,9459769805,2025-01-03,8FQBS2MM66,L-00160,1.61,GOLD,233349,Gold Chain (Man),22K,2024-11-13,ACTIVE,58538,15.75
Deepak Pillai,9398309364,2025-09-19,74VXXLY9XT,L-00161,0.73,GOLD,345068,Gold Bracelet,22K,2023-07-07,OVERDUE,76810,31.35
Suresh Bose,9242363562,2026-03-05,UDXW45V48W,L-00162,2.31,GOLD,31843,Gold Chain (Man),22K,2024-07-16,ACTIVE,2840,10.31
Ashok Shah,9754117331,2026-06-16,6PRL01WU57,L-00163,1.02,GOLD,303598,Gold Ring,22K,2023-10-07,ACTIVE,6248,4.32
Deepak Singh,9559770645,2025-03-31,DL5QCZVYM1,L-00164,1.74,GOLD,97040,Gold Bangles (4 pcs),22K,2023-05-27,CLOSED,5484,11.45
Arun Shah,9897011643,2025-10-27,WPJNKYHKK5,L-00165,1.49,GOLD,468704,Gold Necklace Set,22K,2023-06-21,ACTIVE,191208,9.05
Anjali Singh,9364297199,2026-06-03,Q3LF91PF2K,L-00166,1.99,GOLD,346078,Gold Chain (Man),22K,2023-02-07,OVERDUE,118765,21.79
Sita Sharma,9806845740,2025-06-09,TBJJJE5D5R,L-00167,2.47,GOLD,105246,Gold Bangles (4 pcs),22K,2024-03-02,ACTIVE,39592,27.5
Neha Jain,9240122816,2025-05-26,YCGROY0TWT,L-00168,1.68,GOLD,239204,Gold Chain (Man),22K,2024-06-05,ACTIVE,57771,13.23
Sanjay Iyer,9866893046,2026-03-27,SR8CAAGH0B,L-00169,0.50,GOLD,289205,Gold Ring,22K,2023-11-08,CLOSED,113119,23.82
