ActiveLoans,Address,Gstin,Id,JoinDate,LoyaltyPoints,Name,Phone,TotalPurchases
1,"MG Road, Ahmedabad",262SVFS7WAPS,C00043,2024-07-10,1718,Ravi Reddy,9348267328,1718440
2,"Hazratganj, Bangalore",,C00044,2024-01-25,4074,Sunita Mehta,9350276935,4074659
0,"Charminar, Surat",,C00045,2021-05-19,2710,Suresh Verma,9331597125,2710527
1,"T Nagar, Ahmedabad",,C00046,2021-01-15,786,Amit Agarwal,9180722502,786950
3,"Navrangpura, Hyderabad",,C00047,2024-04-09,3168,Sanjay Bose,9959488877,3168033
3,"Charminar, Bangalore",,C00048,2022-02-05,1578,Deepak Shah,9568721881,1578865
2,"Ring Road, Chennai",,C00049,2021-09-05,3954,Amit Gupta,9281623329,3954786
1,"Karol Bagh, Lucknow",,C00050,2022-09-24,4039,Suresh Modi,9239402249,4039481
0,"Sector 17, Ahmedabad",29IAMN01B6CF,C00051,2022-12-05,566,Manoj Kumar,9201979327,566753
1,"Charminar, Delhi",,C00052,2020-06-26,24,Manoj Trivedi,9234680371,24528
3,"Commercial St, Lucknow",10L9M3KAWYBX,C00053,2020-12-16,179,Arun Bose,9438360907,179031
0,"Ring Road, Jaipur",,C00054,2022-02-18,4203,Sanjay Mehta,9778771610,4203571
1,"T Nagar, Indore",,C00055,2025-08-25,4469,Sita Mehta,9903650803,4469666
0,"Charminar, Surat",,C00056,2021-10-19,4168,Meena Nair,9778573682,4168050
3,"T Nagar, Chennai",,C00057,2022-02-17,1212,Deepak Iyer,9629740028,1212707
1,"Ring Road, Bangalore",,C00058,2020-08-12,3740,Ashok Pillai,9356799162,3740278
2,"Sadar, Indore",,C00059,2024-09-07,4114,Ashok Jain,9220326827,4114361
3,"T Nagar, Ahmedabad",194RVBVZD8U8,C00060,2025-01-26,2897,Sunita Agarwal,9362023517,2897173
0,"New Market, Chennai",,C00061,2022-02-09,3382,Nitin Das,9802059074,3382923
2,"Charminar, Pune",,C00062,2022-04-10,1876,Rekha Iyer,9860587197,1876358
2,"Hazratganj, Kolkata",22W41J10MD73,C00063,2023-09-17,3029,Neha Das,9356086703,3029209
3,"Ring Road, Pune",35YG3WT7C19X,C00064,2020-11-22,3505,Manoj Reddy,9461839155,3505184
1,"Rajwada, Delhi",,C00065,2023-10-07,2600,Gaurav Bose,9391458558,2600039
3,"Commercial St, Jaipur",,C00066,2024-04-14,1630,Rohit Agarwal,9742070793,1630192
3,"New Market, Delhi",,C00067,2020-12-07,2014,Anita Nair,9403422999,2014060
2,"Charminar, Mumbai",,C00068,2021-03-10,1655,Priya Shah,9822634167,1655575
0,"Hazratganj, Chandigarh",,C00069,2023-04-29,1018,Gaurav Bose,9745455131,1018666
3,"Bandra West, Chandigarh",,C00070,2020-07-14,170,Kavita Gupta,9426945412,170024
2,"Rajwada, Varanasi",,C00071,2021-05-03,2410,Manoj Trivedi,9497663517,2410077
0,"New Market, Bangalore",10WQR1K62ABI,C00072,2021-01-11,2613,Neha Das,9145841900,2613103
2,"Karol Bagh, Surat",,C00073,2023-09-12,4800,Arun Kumar,9379430864,4800476
3,"Godowlia, Bangalore",,C00074,2022-07-10,4910,Swati Shah,9153872067,4910470
0,"Ring Road, Chandigarh",,C00075,2022-12-10,719,Ashok Nair,9845431402,719515
3,"MG Road, Lucknow",,C00076,2022-11-02,4002,Rohit Agarwal,9204545419,4002827
1,"Karol Bagh, Varanasi",,C00077,2023-12-29,494,Anjali Agarwal,9273379446,494106
3,"Karol Bagh, Varanasi",,C00078,2023-06-30,3109,Anjali Chopra,9615732696,3109417
0,"Johari Bazaar, Varanasi",35BF19J6K11G,C00079,2024-08-27,223,Pooja Shah,9365260440,223454
1,"Rajwada, Hyderabad",,C00080,2021-04-23,312,Meena Mehta,9799830880,312667
2,"Hazratganj, Pune",,C00081,2022-10-14,1513,Rekha Das,9908105713,1513964
0,"Karol Bagh, Kolkata",,C00082,2022-12-02,1035,Lata Gupta,9939280264,1035774
0,"Karol Bagh, Nagpur",,C00083,2022-11-27,1445,Rohit Shah,9661628464,1445484
3,"Navrangpura, Hyderabad",,C00084,2021-12-16,4075,Meena Bose,9262343719,4075285
0,"Johari Bazaar, Nagpur",,C00085,2024-11-14,3384,Ashok Jain,9812933025,3384517
1,"Johari Bazaar, Varanasi",,C00086,2020-06-05,3496,Sanjay Patel,9924788757,3496202
2,"Navrangpura, Nagpur",,C00087,2023-01-30,3206,Sunita Das,9439181455,3206147
2,"Sadar, Hyderabad",,C00088,2020-06-21,1775,Manoj Agarwal,9496726874,1775535
3,"Godowlia, Hyderabad",,C00089,2021-06-18,4916,Anita Nair,9923685245,4916819
0,"Karol Bagh, Chandigarh",,C00090,2020-06-16,3765,Sita Verma,9870369755,3765503
3,"Sector 17, Chandigarh",27AIG4F7LS7L,C00091,2023-07-21,2252,Rohit Modi,9423487675,2252946
0,"Sector 17, Jaipur",,C00092,2020-01-18,2445,Sanjay Agarwal,9430799690,2445117
0,"Ring Road, Varanasi",,C00093,2024-11-05,2530,Swati Das,9396910712,2530125
3,"Karol Bagh, Varanasi",23KYB0A33XEX,C00094,2023-06-06,407,Anita Sharma,9789171133,407807
1,"New Market, Varanasi",,C00095,2022-07-14,1294,Gaurav Jain,9148329947,1294778
2,"Sector 17, Jaipur",21UNRACP09JG,C00096,2022-04-05,3632,Manoj Pillai,9207512591,3632614
3,"Rajwada, Hyderabad",,C00097,2022-04-14,626,Sunita Bose,9308656526,626366
2,"T Nagar, Kolkata",19Q36PRSLB9O,C00098,2022-04-26,3694,Rajesh Mehta,9556151255,3694468
2,"Hazratganj, Mumbai",,C00099,2020-04-05,1471,Swati Sharma,9781739625,1471196
3,"MG Road, Mumbai",24I2Z8KOIYAL,C00100,2020-06-02,3433,Deepak Patel,9506036033,3433980
2,"Bandra West, Mumbai",35LB6CK6M6DY,C00101,2023-05-10,3308,Sanjay Singh,9501585623,3308798
0,"Sector 17, Bangalore",,C00102,2024-08-23,2985,Rohit Agarwal,9339196420,2985874
0,"Commercial St, Delhi",,C00103,2023-03-25,1819,Swati Desai,9491542885,1819549
0,"Bandra West, Hyderabad",,C00104,2023-10-10,1927,Nitin Shah,9103828541,1927247
3,"Ring Road, Varanasi",,C00105,2025-02-03,4916,Sita Shah,9842524996,4916470
2,"Sadar, Varanasi",,C00106,2024-05-21,483,Rajesh Nair,9853309883,483303
0,"Ring Road, Kolkata",210VZW6DTL6N,C00107,2025-12-11,256,Lata Singh,9537771047,256463
2,"Charminar, Lucknow",,C00108,2024-06-08,2344,Ravi Jain,9917746578,2344645
0,"Commercial St, Lucknow",,C00109,2022-04-01,864,Suresh Modi,9174086470,864313
1,"Sadar, Jaipur",33YSO74DGZEQ,C00110,2022-06-26,3997,Manoj Iyer,9983946956,3997238
2,"Navrangpura, Nagpur",,C00111,2024-03-10,4157,Ashok Trivedi,9938085452,4157852
2,"Sadar, Pune",22YYPID9Q1KV,C00112,2024-08-31,772,Sanjay Jain,9171018467,772153
1,"Sector 17, Chandigarh",,C00113,2020-05-27,2368,Suresh Das,9172005501,2368132
3,"T Nagar, Bangalore",1783787K8C0W,C00114,2023-11-15,3726,Suresh Desai,9527262431,3726131
0,"MG Road, Jaipur",,C00115,2025-07-29,1110,Priya Chopra,9598537280,1110841
2,"Bandra West, Indore",,C00116,2021-02-23,4931,Nitin Desai,9782777803,4931856
1,"Sadar, Mumbai",,C00117,2023-02-07,3534,Rekha Agarwal,9901664335,3534241
3,"Commercial St, Surat",,C00118,2025-04-15,1932,Neha Desai,9265270513,1932925
1,"Johari Bazaar, Hyderabad",,C00119,2020-08-09,2346,Sunita Trivedi,9631564979,2346893
3,"Rajwada, Varanasi",,C00120,2020-05-31,1749,Arun Gupta,9512481073,1749114
2,"New Market, Pune",,C00121,2020-12-20,1428,Rekha Pillai,9358387657,1428554
1,"Rajwada, Indore",24RYX2ITFJ9L,C00122,2020-01-23,1327,Lata Sharma,9342458811,1327313
3,"Commercial St, Ahmedabad",,C00123,2020-03-09,4910,Pooja Modi,9385467091,4910174
1,"Sadar, Kolkata",,C00124,2022-06-07,1208,Rajesh Reddy,9527991377,1208744
2,"Charminar, Surat",,C00125,2020-08-30,2470,Sita Kumar,9788771548,2470220
1,"Sector 17, Ahmedabad",,C00126,2022-08-28,1689,Meena Singh,9899850862,1689533
2,"Rajwada, Lucknow",,C00127,2020-10-09,4815,Manoj Modi,9145272622,4815545
3,"Rajwada, Pune",,C00128,2022-08-20,1329,Sanjay Modi,9567961822,1329805
0,"Johari Bazaar, Ahmedabad",26JMUB10SMJS,C00129,2021-12-02,2097,Anita Jain,9794792221,2097861
1,"Hazratganj, Pune",,C00130,2021-04-30,1430,Amit Verma,9285574683,1430308
2,"T Nagar, Chandigarh",,C00131,2023-01-02,370,Anjali Desai,9626646715,370635
3,"Bandra West, Mumbai",101GZV5KVTO3,C00132,2022-03-02,757,Priya Shah,9811860545,757958
0,"Navrangpura, Chandigarh",,C00133,2023-07-21,2491,Neha Desai,9387086889,2491988
3,"Godowlia, Ahmedabad",19D47673MVYY,C00134,2024-05-26,3330,Sunita Trivedi,9678098374,3330446
0,"Johari Bazaar, Lucknow",,C00135,2021-11-05,4076,Rekha Sharma,9307064177,4076970
3,"New Market, Kolkata",,C00136,2025-07-10,110,Gaurav Reddy,9646387312,110057
0,"Johari Bazaar, Delhi",,C00137,2024-09-09,1208,Sita Patel,9541255558,1208853
1,"T Nagar, Hyderabad",,C00138,2022-01-11,2863,Ravi Jain,9755962956,2863938
0,"Godowlia, Bangalore",,C00139,2023-05-08,3683,Rohit Desai,9193564078,3683785
2,"T Nagar, Kolkata",25V6OE9M3MW0,C00140,2023-04-23,196,Deepak Desai,9887738783,196184
1,"Charminar, Delhi",,C00141,2024-01-21,4531,Manoj Agarwal,9138362362,4531531
2,"Ring Road, Bangalore",,C00142,2022-11-24,4958,Meena Iyer,9601486008,4958094
1,"T Nagar, Delhi",,C00143,2020-11-04,41,Amit Verma,9501275233,41433
2,"Navrangpura, Pune",,C00144,2025-06-07,1302,Gaurav Pillai,9757277984,1302087
2,"T Nagar, Mumbai",19RBBTPA15TP,C00145,2025-08-28,171,Rekha Kumar,9392984262,171625
3,"MG Road, Pune",,C00146,2025-01-12,4196,Ashok Pillai,9937235625,4196050
3,"Rajwada, Ahmedabad",,C00147,2024-03-26,2392,Rajesh Jain,9790791896,2392187
2,"Hazratganj, Lucknow",,C00148,2022-06-10,2935,Sunita Singh,9295464470,2935369
1,"MG Road, Surat",,C00149,2025-10-13,2579,Pooja Iyer,9795858640,2579143
1,"Johari Bazaar, Mumbai",,C00150,2021-04-30,4224,Sanjay Jain,9139923697,4224915
2,"Navrangpura, Bangalore",,C00151,2020-12-21,1716,Sanjay Kumar,9839296827,1716909
2,"Karol Bagh, Indore",19DVMFF247EH,C00152,2025-07-17,4249,Anita Shah,9600138150,4249019
1,"Hazratganj, Lucknow",,C00153,2020-04-26,3823,Ravi Modi,9136499636,3823602
0,"Godowlia, Kolkata",,C00154,2024-08-22,468,Rekha Iyer,9539098802,468984
0,"Johari Bazaar, Hyderabad",,C00155,2023-06-30,3451,Meena Nair,9498023765,3451220
2,"Charminar, Bangalore",,C00156,2022-05-27,1194,Gaurav Modi,9287111411,1194465
0,"Commercial St, Varanasi",,C00157,2021-04-15,844,Ashok Patel,9450627362,844115
1,"Ring Road, Delhi",,C00158,2024-04-24,65,Sanjay Pillai,9320838357,65613
3,"Karol Bagh, Bangalore",,C00159,2024-09-30,4629,Deepak Nair,9600106818,4629031
3,"Karol Bagh, Lucknow",,C00160,2020-09-06,3288,Swati Modi,9706573780,3288728
0,"Navrangpura, Nagpur",,C00161,2023-08-10,4045,Manoj Bose,9879288845,4045243
1,"Godowlia, Nagpur",,C00162,2023-09-19,2849,Sunita Sharma,9543006744,2849161
3,"T Nagar, Mumbai",,C00163,2023-01-20,3678,Pooja Trivedi,9542086716,3678350
1,"Commercial St, Jaipur",10G0W9L5I4QE,C00164,2023-06-21,3578,Kavita Singh,9174051783,3578624
2,"T Nagar, Hyderabad",,C00165,2020-08-19,974,Neha Verma,9569073112,974936
2,"Commercial St, Chandigarh",29Q9080M4H6F,C00166,2022-12-10,1982,Gaurav Trivedi,9575025650,1982284
0,"Sadar, Chandigarh",35BW5VFOH0W1,C00167,2023-02-19,721,Nitin Mehta,9159881309,721695
2,"Rajwada, Chennai",,C00168,2023-10-13,2358,Rekha Jain,9604383994,2358171
1,"Navrangpura, Pune",,C00169,2024-09-13,3403,Arun Pillai,9751415078,3403749
2,"Ring Road, Indore",,C00170,2020-11-18,1722,Suresh Kumar,9121141332,1722712
1,"Hazratganj, Delhi",,C00171,2021-08-15,2114,Sunita Sharma,9474863233,2114441
0,"T Nagar, Hyderabad",,C00172,2023-10-13,1324,Anita Mehta,9753587802,1324236
1,"MG Road, Hyderabad",,C00173,2023-09-22,78,Manoj Verma,9311041236,78303
0,"Karol Bagh, Kolkata",22KCQG82KXF5,C00174,2025-03-30,4879,Neha Verma,9636474105,4879146
0,"Johari Bazaar, Mumbai",24C7X0BQRTT2,C00175,2023-05-18,1252,Ravi Patel,9336854848,1252310
0,"Charminar, Surat",,C00176,2021-11-07,4242,Anita Singh,9555807073,4242054
0,"Hazratganj, Varanasi",,C00177,2023-11-25,77,Kavita Agarwal,9233050861,77398
0,"Commercial St, Surat",,C00178,2020-08-26,4638,Priya Jain,9948949752,4638756
2,"Sadar, Nagpur",,C00179,2020-11-09,2020,Swati Modi,9705032937,2020380
0,"Bandra West, Mumbai",,C00180,2025-04-15,4887,Vikram Sharma,9904996578,4887009
2,"Johari Bazaar, Delhi",31SVUX1CNKBY,C00181,2022-05-11,2506,Ravi Das,9909152249,2506134
1,"Hazratganj, Chennai",,C00182,2022-04-11,4962,Arun Jain,9720250332,4962893
1,"Hazratganj, Hyderabad",130NG6KR7S1U,C00183,2022-02-03,2432,Rajesh Patel,9646633099,2432750
0,"T Nagar, Surat",,C00184,2021-09-11,4379,Sunita Singh,9709035880,4379886
3,"Hazratganj, Chennai",,C00185,2024-02-17,1140,Nitin Gupta,9727170250,1140889
2,"Karol Bagh, Hyderabad",,C00186,2020-03-05,2483,Deepak Mehta,9689091914,2483441
1,"Ring Road, Chennai",,C00187,2024-05-11,2804,Meena Sharma,9627240621,2804914
1,"Hazratganj, Chennai",,C00188,2023-11-01,3362,Anita Pillai,9190789398,3362926
0,"Charminar, Pune",,C00189,2023-12-17,406,Amit Modi,9709693270,406737
0,"Navrangpura, Surat",,C00190,2021-11-12,2373,Ravi Iyer,9583293943,2373489
3,"New Market, Mumbai",12DCRI9IROIU,C00191,2025-07-11,313,Manoj Sharma,9213085096,313980
1,"Hazratganj, Hyderabad",,C00192,2020-11-10,4842,Lata Jain,9136848103,4842688
2,"MG Road, Chandigarh",,C00193,2021-04-14,3210,Kavita Shah,9957164480,3210836
3,"Charminar, Ahmedabad",15OVL709HC9O,C00194,2025-10-08,2359,Nitin Jain,9129905597,2359456
2,"Sadar, Bangalore",,C00195,2020-10-30,2005,Anjali Nair,9884707353,2005886
3,"New Market, Pune",,C00196,2020-07-28,952,Ravi Modi,9149674076,952912
1,"Godowlia, Kolkata",,C00197,2022-06-10,1873,Amit Trivedi,9938374940,1873392
2,"Sadar, Surat",,C00198,2024-11-04,1725,Suresh Bose,9511166158,1725850
3,"Hazratganj, Varanasi",,C00199,2025-03-19,4547,Sita Modi,9343423596,4547418
1,"Johari Bazaar, Bangalore",153USGIIEJR4,C00200,2023-10-05,2505,Neha Das,9302823313,2505704
2,"Johari Bazaar, Nagpur",,C00201,2023-03-12,19,Pooja Pillai,9837328836,19352
2,"Navrangpura, Pune",,C00202,2022-04-04,4409,Swati Chopra,9837064992,4409637
2,"Godowlia, Chennai",,C00203,2025-08-24,708,Rajesh Trivedi,9274124012,708794
3,"Sector 17, Jaipur",16AISY0XIDG3,C00204,2025-01-16,1077,Kavita Reddy,9498786280,1077002
3,"Karol Bagh, Hyderabad",,C00205,2023-12-02,555,Vikram Trivedi,9877971907,555676
3,"Commercial St, Chandigarh",,C00206,2021-05-18,1648,Amit Modi,9937663816,1648674
2,"Sector 17, Pune",,C00207,2024-12-25,1502,Sunita Agarwal,9162658587,1502436
3,"Hazratganj, Pune",,C00208,2022-07-14,1148,Nitin Kumar,9126435966,1148848
1,"Charminar, Indore",,C00209,2022-04-23,3478,Anita Reddy,9139048622,3478969
1,"Navrangpura, Ahmedabad",,C00210,2021-06-14,1821,Rajesh Jain,9276765256,1821431
0,"Hazratganj, Kolkata",24W450DN0OWO,C00211,2024-02-03,4502,Manoj Chopra,9530725491,4502169
0,"Hazratganj, Bangalore",,C00212,2020-02-19,2943,Manoj Patel,9404637282,2943971
3,"Ring Road, Indore",,C00213,2020-02-25,128,Rohit Shah,9546041810,128549
2,"Godowlia, Delhi",,C00214,2025-10-10,3881,Ravi Nair,9924322572,3881646
1,"Commercial St, Ahmedabad",12INSWJ3PR12,C00215,2020-08-24,2847,Sita Reddy,9810051529,2847955
0,"New Market, Lucknow",,C00216,2024-08-08,55,Pooja Bose,9401538424,55347
3,"Rajwada, Jaipur",,C00217,2022-05-21,1695,Lata Agarwal,9377692766,1695957
0,"Rajwada, Hyderabad",,C00218,2021-06-29,3034,Rajesh Das,9194918961,3034069
0,"Rajwada, Nagpur",,C00219,2024-10-26,4576,Manoj Pillai,9181263140,4576062
1,"T Nagar, Pune",30WFYB8UTOTB,C00220,2022-06-11,1359,Priya Shah,9952982686,1359438
2,"Johari Bazaar, Nagpur",,C00221,2024-01-07,3309,Sita Shah,9366213398,3309651
3,"New Market, Ahmedabad",,C00222,2020-04-11,1256,Nitin Shah,9751177363,1256699
1,"Sadar, Nagpur",,C00223,2023-06-30,3655,Rohit Chopra,9821980710,3655069
2,"Charminar, Indore",18YAXOWUAYHJ,C00224,2025-10-01,735,Kavita Chopra,9503651270,735370
0,"Bandra West, Kolkata",,C00225,2020-10-05,3239,Suresh Patel,9141386006,3239534
3,"Sector 17, Hyderabad",,C00226,2021-05-25,4573,Rajesh Bose,9800554374,4573053
3,"Godowlia, Hyderabad",22LM5S9K41FL,C00227,2020-09-08,4929,Nitin Mehta,9893247572,4929598
3,"Rajwada, Mumbai",,C00228,2025-11-14,3606,Kavita Gupta,9605151682,3606394
3,"Commercial St, Bangalore",,C00229,2023-10-07,4388,Rekha Verma,9105175005,4388972
3,"Sector 17, Pune",,C00230,2022-07-21,1938,Nitin Agarwal,9302505728,1938138
3,"Charminar, Surat",27SO7BGSM46T,C00231,2020-06-13,2488,Sunita Chopra,9626307726,2488936
0,"Johari Bazaar, Delhi",21BI421M7LJE,C00232,2024-03-07,4398,Lata Reddy,9713413313,4398459
0,"Commercial St, Chandigarh",,C00233,2021-02-05,2158,Arun Mehta,9998539143,2158755
1,"Rajwada, Bangalore",24DN1QHT66A9,C00234,2020-06-19,2182,Ravi Sharma,9138854496,2182975
1,"Navrangpura, Pune",,C00235,2024-05-16,960,Suresh Mehta,9218411192,960221
2,"T Nagar, Chennai",,C00236,2022-07-16,2004,Rekha Desai,9979964911,2004790
1,"MG Road, Mumbai",,C00237,2022-10-28,2620,Deepak Patel,9506868879,2620433
0,"New Market, Jaipur",,C00238,2020-05-03,1462,Anita Iyer,9943506786,1462851
2,"Navrangpura, Varanasi",,C00239,2022-02-24,3941,Gaurav Patel,9814147237,3941508
0,"Sector 17, Surat",2921HHSVGO6M,C00240,2020-04-07,3057,Sanjay Kumar,9621987929,3057318
3,"Commercial St, Kolkata",,C00241,2021-06-17,1297,Sanjay Shah,9574862683,1297556
0,"Ring Road, Lucknow",,C00242,2021-05-20,1340,Kavita Sharma,9839941952,1340966
3,"Charminar, Delhi",,C00243,2020-09-24,2546,Kavita Sharma,9743295120,2546685
2,"Commercial St, Delhi",21ATD050GI2M,C00244,2021-09-09,1813,Rohit Das,9754433486,1813516
2,"Johari Bazaar, Delhi",11K7DBM387M3,C00245,2024-05-30,3558,Meena Iyer,9833753542,3558909
2,"Sector 17, Ahmedabad",23486FHESRUW,C00246,2020-08-29,792,Rohit Reddy,9970856117,792510
3,"Sadar, Delhi",28G2E636JYDA,C00247,2022-10-21,4287,Rekha Gupta,9863117581,4287620
3,"Sadar, Hyderabad",,C00248,2023-12-04,3154,Swati Shah,9813442780,3154793
0,"Sadar, Kolkata",,C00249,2025-11-03,2047,Vikram Jain,9186440101,2047960
3,"Bandra West, Kolkata",,C00250,2025-12-23,4828,Ashok Desai,9290028898,4828466
1,"Karol Bagh, Indore",,C00251,2021-10-26,2852,Vikram Nair,9108511208,2852317
2,"Rajwada, Chandigarh",,C00252,2025-07-04,1616,Lata Trivedi,9103262116,1616770
3,"T Nagar, Ahmedabad",,C00253,2021-10-10,320,Rekha Gupta,9523915284,320151
0,"Charminar, Surat",32SUKAL7HYQX,C00254,2021-07-13,3247,Suresh Reddy,9736140325,3247596
2,"Sadar, Jaipur",32WBS76PNH8U,C00255,2022-11-12,3743,Sunita Trivedi,9739290069,3743891
1,"Commercial St, Delhi",,C00256,2022-03-15,4456,Rajesh Sharma,9318980130,4456204
3,"Hazratganj, Delhi",,C00257,2023-12-10,832,Sunita Trivedi,9972870695,832518
3,"Hazratganj, Surat",22Z7NNXS2O0D,C00258,2025-04-22,4037,Gaurav Shah,9440744360,4037312
1,"Hazratganj, Pune",,C00259,2021-02-02,932,Rohit Shah,9409791118,932204
0,"New Market, Indore",,C00260,2025-04-07,2847,Deepak Iyer,9183219125,2847394
0,"Sector 17, Delhi",,C00261,2024-08-31,1915,Pooja Verma,9893155737,1915624
2,"MG Road, Bangalore",161K00RQHI43,C00262,2022-03-31,3642,Neha Desai,9653705022,3642660
1,"Bandra West, Chandigarh",11KVJJGYK6GK,C00263,2022-11-16,1695,Sanjay Desai,9571959757,1695240
3,"Johari Bazaar, Ahmedabad",,C00264,2025-11-09,1314,Neha Agarwal,9609689177,1314756
0,"Hazratganj, Varanasi",,C00265,2025-11-04,613,Pooja Modi,9741174049,613139
3,"Johari Bazaar, Bangalore",249GZD9YM628,C00266,2024-06-01,4147,Sanjay Verma,9980593739,4147916
2,"Charminar, Jaipur",,C00267,2025-11-08,4096,Deepak Sharma,9989155282,4096938
2,"Godowlia, Jaipur",,C00268,2023-10-08,1047,Rajesh Jain,9965619752,1047453
1,"Commercial St, Chandigarh",,C00269,2021-01-24,3625,Kavita Modi,9978119869,3625277
1,"Ring Road, Chennai",13894J39TIFP,C00270,2021-01-14,1008,Anita Das,9425449277,1008816
2,"Hazratganj, Jaipur",,C00271,2020-05-11,2422,Nitin Reddy,9326488830,2422028
0,"Hazratganj, Mumbai",,C00272,2020-06-04,4772,Neha Trivedi,9386264209,4772923
3,"Sadar, Indore",,C00273,2025-03-07,4047,Pooja Reddy,9529345853,4047015
3,"Godowlia, Kolkata",,C00274,2020-11-13,2312,Priya Sharma,9829283068,2312005
1,"Rajwada, Kolkata",,C00275,2023-11-06,1444,Neha Shah,9302690010,1444825
0,"MG Road, Bangalore",,C00276,2020-09-15,4110,Priya Chopra,9587631140,4110251
3,"Johari Bazaar, Ahmedabad",,C00277,2021-03-30,3873,Sanjay Chopra,9297259495,3873078
3,"Ring Road, Varanasi",,C00278,2020-07-25,3662,Meena Iyer,9986523607,3662472
0,"Karol Bagh, Delhi",,C00279,2025-04-08,1813,Gaurav Pillai,9242831750,1813286
0,"Sector 17, Nagpur",,C00280,2020-05-27,3039,Sanjay Mehta,9518539826,3039711
3,"Ring Road, Mumbai",,C00281,2023-08-25,4266,Vikram Pillai,9182609997,4266674
